Stock Components,Logistic Regression % (0.0) (1-),SVM % (0.0) (1-),Random Forest % (0.0) (1-),Gradient Boosting % (0.0) (1-)
AAC Technologies Holdings Inc. (2018.HK),51.08,53.43,49.1,58.84
AIA Group Limited (1299.HK),54.15,54.87,47.83,54.87
BOC Hong Kong (Holdings) Limited (2388.HK),53.25,55.78,55.05,53.43
China Life Insurance Company Limited (2628.HK),56.5,56.5,60.29,60.65
China Mengniu Dairy Company Limited (2319.HK),53.07,55.96,53.97,59.03
China Mobile Limited (0941.HK),54.33,54.33,51.62,52.71
China Petroleum & Chemical Corporation(0386.HK),55.23,61.01,58.84,64.26
China Resources Land Limited (1109.HK),53.79,55.96,52.53,60.83
China Resources Power Holdings Company Limited (0836.HK),53.07,54.33,50.0,58.12
CITIC Limited (0267.HK),55.6,55.78,55.96,63.54
CK Infrastructure Holdings Limited (1038.HK),55.05,51.08,50.18,57.4
CLP Holdings Limited (0002.HK),50.36,54.51,54.51,58.48
CNOOC Limited (0883.HK),59.03,62.45,57.76,65.52
Galaxy Entertainment Group Limited (0027.HK),51.26,52.89,55.78,56.5
Hang Lung Properties Limited (0101.HK),52.89,55.78,54.51,59.39
Henderson Land Development Company Limited (0012.HK),54.33,52.89,52.35,61.37
Hengan International Group Company Limited (1044.HK),55.96,56.32,53.97,59.03
Industrial and Commercial Bank of China Limited (1398.HK),54.33,59.93,55.05,59.21
Lenovo Group Limited (0992.HK),53.07,59.75,52.71,61.19
New World Development Company Limited (0017.HK),51.44,51.44,54.15,57.4
"Ping An Insurance (Group) Company of China, Ltd. (2318.HK)",57.4,56.14,55.78,60.65
Power Assets Holdings Limited (0006.HK),55.23,53.25,47.47,57.76
Sands China Ltd. (1928.HK),51.99,56.68,56.14,58.84
Sino Land Company Limited (0083.HK),49.46,54.69,53.07,59.39
Sun Hung Kai Properties Limited (0016.HK),53.61,54.69,55.42,60.11
Tencent Holdings Limited (0700.HK),57.4,61.01,51.99,63.9
"The Bank of East Asia, Limited (0023.HK)",57.04,55.78,53.97,59.57
The Hong Kong and China Gas Company Limited (0003.HK),54.87,53.79,48.74,56.14
WH Group Limited (0288.HK),48.01,48.01,48.19,56.68
