Stock Components,Logistic Regression % (0.5) (5-),SVM % (0.5) (5-),Random Forest % (0.5) (5-),Gradient Boosting % (0.5) (5-)
AAC Technologies Holdings Inc. (2018.HK),52.71,60.11,57.58,62.09
AIA Group Limited (1299.HK),54.15,62.64,59.93,62.82
BOC Hong Kong (Holdings) Limited (2388.HK),56.14,68.23,64.98,66.79
China Life Insurance Company Limited (2628.HK),52.71,63.9,59.21,63.72
China Mengniu Dairy Company Limited (2319.HK),55.42,59.03,58.48,62.27
China Mobile Limited (0941.HK),60.65,72.92,68.23,69.68
China Petroleum & Chemical Corporation(0386.HK),57.22,68.95,65.7,71.48
China Resources Land Limited (1109.HK),55.23,60.29,59.93,63.36
China Resources Power Holdings Company Limited (0836.HK),51.81,63.0,60.83,63.18
CITIC Limited (0267.HK),56.5,66.97,69.13,70.4
CK Infrastructure Holdings Limited (1038.HK),59.57,75.09,71.66,74.37
CLP Holdings Limited (0002.HK),63.54,77.08,75.63,75.45
CNOOC Limited (0883.HK),58.48,69.86,63.72,70.4
Galaxy Entertainment Group Limited (0027.HK),51.62,56.86,59.93,61.19
Hang Lung Properties Limited (0101.HK),53.79,66.25,63.54,68.23
Henderson Land Development Company Limited (0012.HK),57.22,67.87,63.54,66.79
Hengan International Group Company Limited (1044.HK),59.75,64.44,57.58,65.52
Industrial and Commercial Bank of China Limited (1398.HK),55.42,64.98,62.64,66.25
Lenovo Group Limited (0992.HK),55.6,69.31,64.44,68.95
New World Development Company Limited (0017.HK),57.58,66.06,61.01,63.72
"Ping An Insurance (Group) Company of China, Ltd. (2318.HK)",53.79,64.26,64.44,62.45
Power Assets Holdings Limited (0006.HK),57.22,76.35,71.12,74.01
Sands China Ltd. (1928.HK),53.43,63.36,59.75,64.08
Sino Land Company Limited (0083.HK),55.23,66.97,65.16,67.33
Sun Hung Kai Properties Limited (0016.HK),58.3,68.23,67.69,66.43
Tencent Holdings Limited (0700.HK),53.25,60.29,59.75,64.8
"The Bank of East Asia, Limited (0023.HK)",56.86,68.41,67.33,68.05
The Hong Kong and China Gas Company Limited (0003.HK),59.03,74.73,71.48,75.45
WH Group Limited (0288.HK),58.66,61.91,61.01,61.91
